Source,Key,English,Japanese
CLI,interactive.ai_sync_will,LLM catalog will be synced after project generation,プロジェクト生成後に LLM カタログを同期します
CLI,interactive.ai_tracking_context,AI Usage Tracking,AI 利用状況トラッキング
CLI,interactive.ai_tracking_label,LLM Usage Tracking:,LLM 利用状況トラッキング：
CLI,interactive.ai_tracking_prompt,"Enable usage tracking? (token counts, costs, conversation history)",利用状況トラッキングを有効にしますか？（トークン数、コスト、会話履歴）
CLI,interactive.ai_use_pydanticai,Use PydanticAI? (recommended),PydanticAI を使用しますか？（推奨）
CLI,interactive.ai_voice_enabled,Voice enabled with TTS and STT support,音声機能有効化済み（TTS / STT 対応）
CLI,interactive.ai_voice_label,Voice (Text-to-Speech & Speech-to-Text):,音声（テキスト読み上げ＆音声認識）：
CLI,interactive.ai_voice_prompt,Enable voice capabilities? (TTS and STT for voice interactions),音声機能を有効にしますか？（TTS / STT による音声対話）
CLI,interactive.auth_basic,Basic - Email/password login,ベーシック — メール＆パスワードログイン
CLI,interactive.auth_cancelled,Authentication service cancelled,認証サービスをキャンセルしました
CLI,interactive.auth_db_already,Database component already selected,データベースコンポーネントは選択済みです
CLI,interactive.auth_db_configured,Authentication + Database configured,認証 + データベース設定済み
CLI,interactive.auth_db_confirm,Continue and add database component?,データベースコンポーネントを追加しますか？
CLI,interactive.auth_db_details,"(user accounts, sessions, JWT tokens)",（ユーザーアカウント、セッション、JWT トークン）
CLI,interactive.auth_db_reason,Authentication requires a database for user storage,認証にはユーザー情報を保存するデータベースが必要です
CLI,interactive.auth_db_required,Database Required:,データベースが必要：
CLI,interactive.auth_header,Authentication Services:,認証サービス：
CLI,interactive.auth_level_label,Authentication Level:,認証レベル：
CLI,interactive.auth_org,With Organizations - + multi-tenant support (experimental),組織付き — ＋マルチテナント対応（実験的）
CLI,interactive.auth_rbac,With Roles - + role-based access control (experimental),ロール付き — ＋ロールベースアクセス制御（実験的）
CLI,interactive.auth_select,What type of authentication?,認証の種類を選択してください：
CLI,interactive.auth_selected,Selected auth level: {level},認証レベルを選択：{level}
CLI,interactive.backup_desc,Scheduled daily database backup job included (runs at 2 AM),毎日 2:00 AM にデータベースをバックアップするジョブを含みます
CLI,interactive.bonus_backup,Bonus: Adding database backup job,ボーナス：データベースバックアップジョブを追加
CLI,interactive.component_selection,Component Selection,コンポーネント選択
CLI,interactive.core_included,Core components ({components}) included automatically,コアコンポーネント（{components}）は自動的に含まれます
CLI,interactive.db_engine_label,{context} Database Engine:,{context} データベースエンジン：
CLI,interactive.db_postgres,"PostgreSQL - Production-ready, multi-container support",PostgreSQL — 本番対応、マルチコンテナ対応
CLI,interactive.db_reuse,Using previously selected database: {engine},既に選択済みのデータベースを使用：{engine}
CLI,interactive.db_select,Select database engine:,データベースエンジンを選択：
CLI,interactive.db_sqlite,"SQLite - Simple, file-based (good for development)",SQLite — シンプルなファイルベース（開発向け）
CLI,interactive.infra_header,Infrastructure Components:,インフラコンポーネント：
CLI,interactive.persist_prompt,"Do you want to persist scheduled jobs? (Enables job history, recovery after restarts)",ジョブを永続化しますか？（ジョブ履歴の保存、再起動後の復旧が可能になります）
CLI,interactive.scheduler_db_configured,Scheduler + {engine} database configured,スケジューラ + {engine} データベース設定済み
CLI,interactive.scheduler_persistence,Scheduler Persistence:,スケジューラの永続化：
CLI,interactive.service_selection,Service Selection,サービス選択
CLI,interactive.services_intro,Services provide business logic functionality for your application.,サービスはアプリケーションにビジネスロジック機能を提供します。
CLI,interactive.worker_arq,"arq - Async, lightweight (default)",arq — 非同期・軽量（デフォルト）
CLI,interactive.worker_configured,Worker with {backend} backend configured,ワーカー（{backend} バックエンド）を設定済み
CLI,interactive.worker_dramatiq,"Dramatiq - Process-based, ideal for CPU-bound work",Dramatiq — プロセスベース、CPU 負荷の高い処理に最適
CLI,interactive.worker_label,Worker Backend:,ワーカーバックエンド：
CLI,interactive.worker_select,Select worker backend:,ワーカーバックエンドを選択：
CLI,interactive.worker_taskiq,"TaskIQ - Async, framework-style with per-queue brokers",TaskIQ — 非同期、フレームワーク型でキュー別ブローカー対応
CLI,postgen.db_alembic_hint,Skipping database migration. Please ensure the config file exists and run 'alembic upgrade head' manually.,データベースマイグレーションをスキップします。設定ファイルを確認し、手動で 'alembic upgrade head' を実行してください。
CLI,postgen.db_alembic_missing,Warning: Alembic config file not found at {path},警告：Alembic 設定ファイルが見つかりません：{path}
CLI,postgen.db_error,Warning: Migration setup failed: {error},警告：マイグレーションセットアップ失敗：{error}
CLI,postgen.db_failed,Warning: Database migration setup failed,警告：データベースマイグレーションのセットアップに失敗
CLI,postgen.db_manual,Run 'alembic upgrade head' manually after project creation,プロジェクト作成後に手動で 'alembic upgrade head' を実行してください
CLI,postgen.db_setup,Setting up database schema...,データベーススキーマをセットアップ中...
CLI,postgen.db_success,Database tables created successfully,データベーステーブルの作成完了
