Source,Key,English,Traditional Chinese
CLI,deploy.init_gitignore,Note: Consider adding .aegis/ to .gitignore to avoid committing deploy config,提示：建議將 .aegis/ 添加到 .gitignore，避免提交部署設定
CLI,deploy.init_host,   Host: {host},   主機：{host}
CLI,deploy.init_path,   Path: {path},   路徑：{path}
CLI,deploy.init_saved,Deploy configuration saved to {file},部署設定已保存至 {file}
CLI,deploy.init_user,   User: {user},   用戶：{user}
CLI,deploy.mkdir_failed,Failed to create remote directory '{path}',創建遠程目錄「{path}」失敗
CLI,deploy.no_backups,No backups found.,未找到備份。
CLI,deploy.no_backups_available,No backups available.,沒有可用的備份。
CLI,deploy.no_config,No deploy configuration found. Run 'aegis deploy-init' first.,未找到部署設定，請先執行 aegis deploy-init。
CLI,deploy.no_existing,"No existing deployment found, skipping backup",未找到已有部署，跳過備份
CLI,deploy.overseer,   Overseer dashboard: http://{host}/dashboard/,   控制臺：http://{host}/dashboard/
CLI,deploy.prompt_host,Server IP or hostname,服務器 IP 或主機名
CLI,deploy.restart_failed,Failed to restart services,重啟服務失敗
CLI,deploy.restart_restarting,Restarting services...,正在重啟服務……
CLI,deploy.restart_success,Services restarted,服務已重啟
CLI,deploy.rollback_complete,Rollback complete!,回滾完成
CLI,deploy.rollback_db,Restoring database...,正在恢復數據庫……
CLI,deploy.rollback_db_failed,Warning: Database restore failed,提示：數據庫恢復失敗
CLI,deploy.rollback_failed,Rollback failed! Manual intervention required.,回滾失敗，需要手動處理。
CLI,deploy.rollback_failed_final,Rollback failed!,回滾失敗！
CLI,deploy.rollback_hint,Rollback with: aegis deploy-rollback --backup <timestamp>,回滾命令：aegis deploy-rollback --backup <時間戳>
CLI,deploy.rollback_not_found,Backup not found: {timestamp},未找到備份：{timestamp}
CLI,deploy.rollback_pg_timeout,"PostgreSQL did not become ready, attempting restore anyway",PostgreSQL 未就緒，仍嘗試恢復
CLI,deploy.rollback_pg_wait,Waiting for PostgreSQL to be ready...,等待 PostgreSQL 就緒……
CLI,deploy.rollback_restore_failed,Failed to restore files: {error},恢復檔案失敗：{error}
CLI,deploy.rollback_restoring,Restoring files from backup {timestamp}...,正在從備份 {timestamp} 恢復檔案……
CLI,deploy.rollback_start_failed,Failed to start services after rollback,回滾後啟動服務失敗
CLI,deploy.rollback_starting,Starting services...,正在啟動服務……
CLI,deploy.rollback_stopping,Stopping services...,正在停止服務……
CLI,deploy.rolled_back,Rolled back to backup {timestamp},已回滾到備份 {timestamp}
CLI,deploy.rolling_back,Rolling back to backup {backup} on {host}...,正在回滾到備份 {backup}（{host}）……
CLI,deploy.running_setup,Running server setup (this may take a few minutes)...,正在執行服務器初始化（可能需要幾分鍾）……
CLI,deploy.setup_complete,Server setup complete!,服務器初始化完成
CLI,deploy.setup_failed,Server setup failed,服務器初始化失敗
CLI,deploy.setup_next,Next: Run 'aegis deploy' to deploy your application,接下來執行 aegis deploy 部署應用
CLI,deploy.setup_script_hint,Make sure your project was created with the ingress component.,請確保項目已添加 ingress 組件。
CLI,deploy.setup_script_missing,Server setup script not found: {path},未找到服務器安裝腳本：{path}
CLI,deploy.setup_title,Setting up server at {target}...,正在初始化服務器（{target}）……
CLI,deploy.setup_verify,Verifying installation:,安裝驗證：
CLI,deploy.setup_verify_app_dir,  App Directory: {path},  應用目錄：{path}
CLI,deploy.setup_verify_compose,  Docker Compose: {version},  Docker Compose：{version}
CLI,deploy.setup_verify_docker,  Docker: {version},  Docker：{version}
CLI,deploy.setup_verify_uv,  uv: {version},  uv：{version}
CLI,deploy.ssh_failed,SSH connection failed: {error},SSH 連接失敗：{error}
CLI,deploy.ssh_keyscan_failed,Failed to scan SSH host key: {error},SSH 主機密鑰掃描失敗：{error}
CLI,deploy.start_failed,Failed to start services,啟動服務失敗
CLI,deploy.status_header,Service status on {host}:,服務器 {host} 服務狀態：
CLI,deploy.stop_failed,Failed to stop services,停止服務失敗
CLI,deploy.stop_stopping,Stopping services...,正在停止服務……
CLI,deploy.stop_success,Services stopped,服務已停止
CLI,deploy.stopping,Stopping existing services...,正在停止現有服務……
CLI,deploy.sync_failed,Failed to sync files,檔案同步失敗
CLI,deploy.syncing,Syncing files to server...,正在同步檔案到服務器……
CLI,deploy.view_logs,   View logs: aegis deploy-logs,   查看日志：aegis deploy-logs
CLI,ingress.acme_email,   ACME email: {email},   ACME 郵箱：{email}
CLI,ingress.add_confirm,Add the ingress component?,確認添加 Ingress 組件？
CLI,ingress.add_failed,Failed to add ingress component: {error},添加 Ingress 組件失敗：{error}
CLI,ingress.added,Ingress component added.,Ingress 組件已添加
CLI,ingress.available_at,   Your app will be available at: https://{domain},   應用地址：https://{domain}
CLI,ingress.created_file,   Created: {file},   已創建：{file}
CLI,ingress.domain_label,   Domain: {domain},   域名：{domain}
CLI,ingress.domain_none,   Domain: (none - IP/PathPrefix routing),   域名：（無 — 使用 IP/路徑前綴路由）
CLI,ingress.domain_prompt,"Domain name (e.g., example.com, or empty for IP-based routing)",域名（如 example.com，留空則使用 IP 路由）
CLI,ingress.email_prompt,Email for Let's Encrypt notifications,Let's Encrypt 通知郵箱
CLI,ingress.email_required,Error: --email is required for TLS (needed for Let's Encrypt),啟用 TLS 需要指定 --email（用於 Let's Encrypt）
CLI,ingress.email_reuse,Using existing email for ACME: {email},使用已有郵箱用於 ACME：{email}
CLI,ingress.enabling,Enabling TLS...,正在啟用 TLS……
CLI,ingress.https_configured,   HTTPS is now configured with Let's Encrypt,   已通過 Let's Encrypt 設定 HTTPS
CLI,ingress.next_certs,   Certificates will be auto-provisioned on first request,   證書將在首次訪問時自動籤發
CLI,ingress.next_deploy,   1. Deploy with: aegis deploy,   1. 部署：aegis deploy
CLI,ingress.next_dns,   3. Point your DNS A record for {domain} to your server IP,   3. 將 {domain} 的 DNS A 記錄指向服務器 IP
CLI,ingress.next_ports,   2. Ensure ports 80 and 443 are open on your server,   2. 確保服務器已開放 80 和 443 端口
CLI,ingress.next_steps,Next steps:,下一步：
CLI,ingress.not_found,Ingress component not found. Adding it first...,未找到 Ingress 組件，將先添加……
CLI,ingress.project,Project: {path},項目：{path}
CLI,ingress.success,TLS enabled successfully!,TLS 已成功啟用
CLI,ingress.title,Aegis Stack - Enable Ingress TLS,Aegis Stack — 啟用 Ingress TLS
CLI,ingress.tls_already,TLS is already enabled on this project.,該項目已啟用 TLS
CLI,ingress.tls_config,TLS Configuration:,TLS 設定訊息：
CLI,ingress.tls_confirm,Enable TLS with this configuration?,使用此設定啟用 TLS？
CLI,ingress.updated_file,   Updated: {file},   已更新：{file}
CLI,init.auto_added_by_services,Auto-added by services:,因服務需要，已自動添加：
CLI,init.auto_added_deps,Auto-added dependencies: {deps},已自動補充依賴：{deps}
CLI,init.auto_detected_scheduler,Auto-detected: Scheduler with {backend} persistence,已自動識別：調度器將使用 {backend} 持久化
CLI,init.cancelled,Project creation cancelled,已取消項目創建
CLI,init.compat_errors,Service-component compatibility errors:,服務與組件兼容性檢查未通過：
CLI,init.component_files,Component Files:,將生成的組件檔案：
CLI,init.config_core,Core:,核心組件：
CLI,init.config_infra,Infrastructure:,基礎設施：
CLI,init.config_name,Name:,名稱：
CLI,init.config_services,Services:,業務服務：
CLI,init.config_title,Project Configuration,項目概覽
CLI,init.confirm_create,Create this project?,確認創建？
CLI,init.creating,Creating project: {name},正在創建項目：{name}
CLI,init.dependencies,Dependencies to be installed:,將安裝的依賴包：
CLI,init.dir_exists,Directory '{path}' already exists,目錄「{path}」已存在
CLI,init.dir_exists_hint,Use --force to overwrite or choose a different name,可使用 --force 覆蓋，或換一個名稱
CLI,init.entrypoints,Entrypoints:,入口檔案：
CLI,init.error,Error creating project: {error},項目創建失敗：{error}
CLI,init.location,Location:,目標路徑：
CLI,init.overwriting,Overwriting existing directory: {path},即將覆蓋目錄：{path}
CLI,init.removing_dir,Removing existing directory: {path},正在清理已有目錄：{path}
CLI,init.required_by,required by {services},（{services} 需要此組件）
CLI,init.services_require,Services require components: {components},以下服務依賴這些組件：{components}
CLI,init.suggestion_add,Suggestion: Add missing components --components {components},建議補充組件：--components {components}
CLI,init.suggestion_interactive,"Alternatively, use interactive mode to auto-add service dependencies.",或者使用交互模式，系統會自動處理服務依賴。
CLI,init.suggestion_remove,Or remove --components to let services auto-add dependencies.,也可以去掉 --components，讓服務自動添加所需依賴。
CLI,init.template_version,Template Version:,模板版本：
CLI,init.title,Aegis Stack Project Initialization,Aegis Stack 項目初始化
CLI,init.worker_queues,Worker Queues:,任務隊列：
CLI,interactive.add_prompt,Add {description}?,添加{description}？
CLI,interactive.add_with_redis,Add {description}? (will auto-add Redis),添加{description}？（將自動加入 Redis）
CLI,interactive.ai_configured,AI service configured,AI 服務設定完成
CLI,interactive.ai_db_added,Database ({backend}) added for usage tracking,已添加 {backend} 數據庫用於用量追蹤
CLI,interactive.ai_db_already,Database already selected - usage tracking enabled,數據庫已添加，用量追蹤已開啟
CLI,interactive.ai_deps_optimized,Dependencies will be optimized for your selection,依賴將根據您的選擇進行優化
CLI,interactive.ai_framework_intro,Choose your AI framework:,請選擇 AI 框架：
CLI,interactive.ai_framework_label,AI Framework Selection:,AI 框架選擇：
CLI,interactive.ai_header,AI & Machine Learning Services:,AI 與機器學習服務：
CLI,interactive.ai_langchain,LangChain - Popular framework with extensive integrations,LangChain — 生態豐富，集成能力強
CLI,interactive.ai_no_providers,"No providers selected, adding recommended defaults...",未選擇任何供應商，將使用推薦的默認設定……
CLI,interactive.ai_ollama_docker,Docker - Run Ollama in a Docker container (Linux/Deploy),Docker — 在容器中運行 Ollama（Linux / 部署環境）
CLI,interactive.ai_ollama_docker_hint,Note: First startup may take time to download models,首次啟動可能需要較長時間下載模型
CLI,interactive.ai_ollama_docker_ok,Ollama service will be added to docker-compose.yml,Ollama 服務將寫入 docker-compose.yml
CLI,interactive.ai_ollama_host,Host - Connect to Ollama running on your machine (Mac/Windows),本機 — 連接宿主機上運行的 Ollama（Mac / Windows）
CLI,interactive.ai_ollama_host_hint,Make sure Ollama is running: ollama serve,請確保 Ollama 正在運行：ollama serve
CLI,interactive.ai_ollama_host_ok,Ollama will connect to host.docker.internal:11434,Ollama 將通過 host.docker.internal:11434 連接
CLI,interactive.ai_ollama_host_prompt,Connect to host Ollama? (recommended for Mac/Windows),連接本機 Ollama？（Mac / Windows 推薦此方式）
CLI,interactive.ai_ollama_intro,How do you want to run Ollama?,您希望如何運行 Ollama？
CLI,interactive.ai_ollama_label,Ollama Deployment Mode:,Ollama 部署方式：
CLI,interactive.ai_provider.anthropic,Anthropic - Claude models (Paid),Anthropic — Claude 系列（付費）
CLI,interactive.ai_provider.cohere,Cohere - Enterprise focus (Limited free),Cohere — 企業級（有限免費）
CLI,interactive.ai_provider.google,Google - Gemini models (Free tier),Google — Gemini 系列（免費額度）
CLI,interactive.ai_provider.groq,Groq - Fast inference (Free tier),Groq — 高速推理（免費額度）
CLI,interactive.ai_provider.mistral,Mistral - Open models (Mostly paid),Mistral — 開源模型（多數付費）
CLI,interactive.ai_provider.ollama,Ollama - Local inference (Free),Ollama — 本地推理（免費）
CLI,interactive.ai_provider.openai,OpenAI - GPT models (Paid),OpenAI — GPT 系列（付費）
CLI,interactive.ai_provider_intro,Choose AI providers to include (multiple selection supported),請選擇要集成的供應商（支援多選）
CLI,interactive.ai_provider_label,AI Provider Selection:,AI 供應商選擇：
CLI,interactive.ai_provider_options,Provider Options:,可選供應商：
CLI,interactive.ai_provider_recommended,(Recommended),（推薦）
CLI,interactive.ai_pydanticai,"PydanticAI - Type-safe, Pythonic AI framework (recommended)",PydanticAI — 類型安全，Pythonic 風格（推薦）
CLI,interactive.ai_rag_compat_note,Enabling RAG will generate a project requiring Python 3.11-3.13,啟用 RAG 後，項目將要求 Python 3.11–3.13
CLI,interactive.ai_rag_compat_prompt,Enable RAG despite Python 3.14 incompatibility?,盡管如此，仍要啟用 RAG？
CLI,interactive.ai_rag_enabled,RAG enabled with ChromaDB vector store,已啟用 RAG，向量存儲使用 ChromaDB
CLI,interactive.ai_rag_label,RAG (Retrieval-Augmented Generation):,RAG（檢索增強生成）：
CLI,interactive.ai_rag_prompt,Enable RAG for document indexing and semantic search?,啟用 RAG？（文檔索引與語義檢索）
CLI,interactive.ai_rag_warning,Warning: RAG requires Python <3.14 (chromadb/onnxruntime limitation),注意：RAG 暫不支援 Python 3.14（chromadb / onnxruntime 限制）
CLI,interactive.ai_selected_framework,Selected framework: {framework},已選擇框架：{framework}
CLI,interactive.ai_selected_providers,Selected providers: {providers},已選供應商：{providers}
CLI,interactive.ai_sync_desc,Syncing fetches latest model data from OpenRouter/LiteLLM APIs,同步將從 OpenRouter / LiteLLM API 獲取最新模型數據
CLI,interactive.ai_sync_label,LLM Catalog Sync:,LLM 模型目錄同步：
CLI,interactive.ai_sync_prompt,Sync LLM catalog during project generation?,在項目生成時同步模型目錄？
CLI,interactive.ai_sync_skipped,LLM sync skipped - static fixture data will be available,已跳過同步，將使用內置的靜態數據
CLI,interactive.ai_sync_time,This requires network access and takes ~30-60 seconds,需要聯網，耗時約 30–60 秒
CLI,interactive.ai_sync_will,LLM catalog will be synced after project generation,項目生成後將自動同步 LLM 目錄
CLI,interactive.ai_tracking_context,AI Usage Tracking,AI 用量追蹤
CLI,interactive.ai_tracking_label,LLM Usage Tracking:,LLM 用量追蹤：
CLI,interactive.ai_tracking_prompt,"Enable usage tracking? (token counts, costs, conversation history)",開啟用量追蹤？（Token 消耗、費用統計、對話歷史）
CLI,interactive.ai_use_pydanticai,Use PydanticAI? (recommended),使用 PydanticAI？（推薦）
CLI,interactive.ai_voice_enabled,Voice enabled with TTS and STT support,已啟用語音功能，支援 TTS 與 STT
CLI,interactive.ai_voice_label,Voice (Text-to-Speech & Speech-to-Text):,語音功能（TTS 語音合成 & STT 語音識別）：
CLI,interactive.ai_voice_prompt,Enable voice capabilities? (TTS and STT for voice interactions),啟用語音交互？（支援語音輸入與語音回復）
CLI,interactive.auth_basic,Basic - Email/password login,基礎認證 — 郵箱 + 密碼登錄
CLI,interactive.auth_cancelled,Authentication service cancelled,已取消認證服務
CLI,interactive.auth_db_already,Database component already selected,數據庫組件已添加
CLI,interactive.auth_db_configured,Authentication + Database configured,認證服務 + 數據庫已就緒
CLI,interactive.auth_db_confirm,Continue and add database component?,繼續並添加數據庫組件？
CLI,interactive.auth_db_details,"(user accounts, sessions, JWT tokens)",（用戶賬戶、會話、JWT 令牌）
CLI,interactive.auth_db_reason,Authentication requires a database for user storage,認證服務需要數據庫來存儲用戶數據
CLI,interactive.auth_db_required,Database Required:,需要數據庫：
CLI,interactive.auth_header,Authentication Services:,認證服務：
CLI,interactive.auth_level_label,Authentication Level:,認證級別：
CLI,interactive.auth_org,With Organizations - + multi-tenant support (experimental),多租戶 — 組織級別的權限隔離（實驗性）
CLI,interactive.auth_rbac,With Roles - + role-based access control (experimental),角色權限 — 基於角色的訪問控制（實驗性）
CLI,interactive.auth_select,What type of authentication?,需要哪種認證方式？
CLI,interactive.auth_selected,Selected auth level: {level},認證級別：{level}
CLI,interactive.backup_desc,Scheduled daily database backup job included (runs at 2 AM),已包含每日定時備份（凌晨 2 點執行）
CLI,interactive.bonus_backup,Bonus: Adding database backup job,額外福利：自動添加數據庫備份任務
CLI,interactive.component_selection,Component Selection,組件選擇
CLI,interactive.core_included,Core components ({components}) included automatically,核心組件（{components}）已默認包含
CLI,interactive.db_engine_label,{context} Database Engine:,{context} 數據庫引擎：
CLI,interactive.db_postgres,"PostgreSQL - Production-ready, multi-container support",PostgreSQL — 生產就緒，支援多容器部署
CLI,interactive.db_reuse,Using previously selected database: {engine},沿用之前的選擇：{engine}
CLI,interactive.db_select,Select database engine:,請選擇數據庫引擎：
CLI,interactive.db_sqlite,"SQLite - Simple, file-based (good for development)",SQLite — 單檔案，適合開發階段
CLI,interactive.infra_header,Infrastructure Components:,基礎設施組件：
CLI,interactive.persist_prompt,"Do you want to persist scheduled jobs? (Enables job history, recovery after restarts)",是否持久化調度任務？（開啟後支援任務歷史記錄與重啟恢復）
CLI,interactive.scheduler_db_configured,Scheduler + {engine} database configured,調度器已設定，使用 {engine} 數據庫
CLI,interactive.scheduler_persistence,Scheduler Persistence:,調度器持久化：
CLI,interactive.service_selection,Service Selection,服務選擇
CLI,interactive.services_intro,Services provide business logic functionality for your application.,服務為應用提供具體的業務能力。
CLI,interactive.worker_arq,"arq - Async, lightweight (default)",arq — 異步，輕量級（默認）
CLI,interactive.worker_configured,Worker with {backend} backend configured,已設定 Worker，後端為 {backend}
CLI,interactive.worker_dramatiq,"Dramatiq - Process-based, ideal for CPU-bound work",Dramatiq — 進程模型，適合 CPU 密集型任務
CLI,interactive.worker_label,Worker Backend:,Worker 後端：
CLI,interactive.worker_select,Select worker backend:,請選擇 Worker 後端：
CLI,interactive.worker_taskiq,"TaskIQ - Async, framework-style with per-queue brokers",TaskIQ — 異步，支援按隊列分配 Broker
CLI,postgen.db_alembic_hint,Skipping database migration. Please ensure the config file exists and run 'alembic upgrade head' manually.,跳過數據庫遷移，請確認設定檔案存在後手動執行 alembic upgrade head
CLI,postgen.db_alembic_missing,Warning: Alembic config file not found at {path},提示：未找到 Alembic 設定檔案 {path}
CLI,postgen.db_error,Warning: Migration setup failed: {error},提示：數據庫遷移失敗 — {error}
CLI,postgen.db_failed,Warning: Database migration setup failed,提示：數據庫遷移未成功
CLI,postgen.db_manual,Run 'alembic upgrade head' manually after project creation,可手動執行 alembic upgrade head
CLI,postgen.db_setup,Setting up database schema...,正在初始化數據庫……
CLI,postgen.db_success,Database tables created successfully,數據庫表創建完成
CLI,postgen.db_timeout,Warning: Migration setup timeout - run 'alembic upgrade head' manually,提示：數據庫遷移超時，請手動執行 alembic upgrade head
CLI,postgen.deps_failed,Project generation failed: dependency installation failed,項目生成失敗：依賴安裝未成功
CLI,postgen.deps_failed_detail,"The generated project files remain in place, but the project is not usable.",項目檔案已生成，但當前無法正常使用。
CLI,postgen.deps_failed_hint,Fix the dependency issue (check Python version compatibility) and try again.,請檢查 Python 版本兼容性，修復後重試。
CLI,postgen.deps_installing,Installing dependencies with uv...,正在通過 uv 安裝依賴……
CLI,postgen.deps_manual,Run 'uv sync' manually after project creation,可稍後手動執行 uv sync
CLI,postgen.deps_success,Dependencies installed successfully,依賴安裝完成
CLI,postgen.deps_timeout,Warning: Dependency installation timeout - run 'uv sync' manually,提示：依賴安裝超時，請手動執行 uv sync
CLI,postgen.deps_uv_install,Install uv first: https://github.com/astral-sh/uv,安裝 uv：https://github.com/astral-sh/uv
CLI,postgen.deps_uv_missing,Warning: uv not found in PATH,提示：未在 PATH 中找到 uv
CLI,postgen.deps_warn_error,Warning: Dependency installation failed: {error},提示：依賴安裝失敗 — {error}
CLI,postgen.deps_warn_failed,Warning: Dependency installation failed,提示：依賴安裝未成功
CLI,postgen.docs_link,Docs: https://lbedner.github.io/aegis-stack,文檔：https://lbedner.github.io/aegis-stack
CLI,postgen.env_created,Environment file created from .env.example,已從 .env.example 生成 .env 檔案
CLI,postgen.env_error,Warning: Environment setup failed: {error},提示：環境設定失敗 — {error}
CLI,postgen.env_exists,Environment file already exists,.env 檔案已存在
CLI,postgen.env_manual,Copy .env.example to .env manually,可手動復制 .env.example 為 .env
CLI,postgen.env_missing,Warning: No .env.example file found,提示：未找到 .env.example
