Source,Key,English,Korean
CLI,ingress.email_reuse,Using existing email for ACME: {email},기존 ACME 이메일 사용: {email}
CLI,ingress.enabling,Enabling TLS...,TLS 활성화 중...
CLI,ingress.https_configured,   HTTPS is now configured with Let's Encrypt,   Let's Encrypt로 HTTPS 구성 완료
CLI,ingress.next_certs,   Certificates will be auto-provisioned on first request,   인증서는 첫 요청 시 자동 발급됩니다
CLI,ingress.next_deploy,   1. Deploy with: aegis deploy,   1. 배포: aegis deploy
CLI,ingress.next_dns,   3. Point your DNS A record for {domain} to your server IP,   3. {domain}의 DNS A 레코드를 서버 IP로 설정
CLI,ingress.next_ports,   2. Ensure ports 80 and 443 are open on your server,"   2. 서버에서 80, 443 포트가 열려 있는지 확인"
CLI,ingress.next_steps,Next steps:,다음 단계:
CLI,ingress.not_found,Ingress component not found. Adding it first...,Ingress 컴포넌트를 찾을 수 없음. 먼저 추가합니다...
CLI,ingress.project,Project: {path},프로젝트: {path}
CLI,ingress.success,TLS enabled successfully!,TLS 활성화 완료!
CLI,ingress.title,Aegis Stack - Enable Ingress TLS,Aegis Stack - Ingress TLS 활성화
CLI,ingress.tls_already,TLS is already enabled on this project.,이 프로젝트에 TLS가 이미 활성화됨.
CLI,ingress.tls_config,TLS Configuration:,TLS 구성:
CLI,ingress.tls_confirm,Enable TLS with this configuration?,이 구성으로 TLS를 활성화하시겠습니까?
CLI,ingress.updated_file,   Updated: {file},   업데이트됨: {file}
CLI,init.auto_added_by_services,Auto-added by services:,서비스에 의해 자동 추가됨:
CLI,init.auto_added_deps,Auto-added dependencies: {deps},자동 추가된 의존성: {deps}
CLI,init.auto_detected_scheduler,Auto-detected: Scheduler with {backend} persistence,자동 감지: {backend} 영속성 포함 스케줄러
CLI,init.cancelled,Project creation cancelled,프로젝트 생성 취소됨
CLI,init.compat_errors,Service-component compatibility errors:,서비스-컴포넌트 호환성 오류:
CLI,init.component_files,Component Files:,컴포넌트 파일:
CLI,init.config_core,Core:,코어:
CLI,init.config_infra,Infrastructure:,인프라:
CLI,init.config_name,Name:,이름:
CLI,init.config_services,Services:,서비스:
CLI,init.config_title,Project Configuration,프로젝트 구성
CLI,init.confirm_create,Create this project?,이 프로젝트를 생성하시겠습니까?
CLI,init.creating,Creating project: {name},프로젝트 생성 중: {name}
CLI,init.dependencies,Dependencies to be installed:,설치될 의존성:
CLI,init.dir_exists,Directory '{path}' already exists,디렉토리 '{path}'이(가) 이미 존재합니다
CLI,init.dir_exists_hint,Use --force to overwrite or choose a different name,--force로 덮어쓰거나 다른 이름을 선택하세요
CLI,init.entrypoints,Entrypoints:,진입점:
CLI,init.error,Error creating project: {error},프로젝트 생성 오류: {error}
CLI,init.location,Location:,위치:
CLI,init.overwriting,Overwriting existing directory: {path},기존 디렉토리 덮어쓰는 중: {path}
CLI,init.removing_dir,Removing existing directory: {path},기존 디렉토리 삭제 중: {path}
CLI,init.required_by,required by {services},{services}에 필요
CLI,init.services_require,Services require components: {components},서비스에 필요한 컴포넌트: {components}
CLI,init.suggestion_add,Suggestion: Add missing components --components {components},제안: 누락된 컴포넌트 추가 --components {components}
CLI,init.suggestion_interactive,"Alternatively, use interactive mode to auto-add service dependencies.",또는 대화형 모드를 사용하여 서비스 의존성을 자동 추가하세요.
CLI,init.suggestion_remove,Or remove --components to let services auto-add dependencies.,또는 --components를 제거하여 서비스가 자동으로 의존성을 추가하도록 하세요.
CLI,init.template_version,Template Version:,템플릿 버전:
CLI,init.title,Aegis Stack Project Initialization,Aegis Stack 프로젝트 초기화
CLI,init.worker_queues,Worker Queues:,Worker 큐:
CLI,interactive.add_prompt,Add {description}?,{description}을(를) 추가하시겠습니까?
CLI,interactive.add_with_redis,Add {description}? (will auto-add Redis),{description}을(를) 추가하시겠습니까? (Redis 자동 추가)
CLI,interactive.ai_configured,AI service configured,AI 서비스 구성 완료
CLI,interactive.ai_db_added,Database ({backend}) added for usage tracking,사용량 추적을 위한 데이터베이스 ({backend}) 추가됨
CLI,interactive.ai_db_already,Database already selected - usage tracking enabled,데이터베이스 이미 선택됨 - 사용량 추적 활성화됨
CLI,interactive.ai_deps_optimized,Dependencies will be optimized for your selection,선택에 맞게 의존성이 최적화됩니다
CLI,interactive.ai_framework_intro,Choose your AI framework:,AI 프레임워크를 선택하세요:
CLI,interactive.ai_framework_label,AI Framework Selection:,AI 프레임워크 선택:
CLI,interactive.ai_header,AI & Machine Learning Services:,AI 및 머신러닝 서비스:
CLI,interactive.ai_langchain,LangChain - Popular framework with extensive integrations,LangChain - 광범위한 통합 지원의 인기 프레임워크
CLI,interactive.ai_no_providers,"No providers selected, adding recommended defaults...",제공자가 선택되지 않아 권장 기본값을 추가합니다...
CLI,interactive.ai_ollama_docker,Docker - Run Ollama in a Docker container (Linux/Deploy),Docker - Docker 컨테이너에서 Ollama 실행 (Linux/배포)
CLI,interactive.ai_ollama_docker_hint,Note: First startup may take time to download models,참고: 첫 시작 시 모델 다운로드에 시간이 걸릴 수 있습니다
CLI,interactive.ai_ollama_docker_ok,Ollama service will be added to docker-compose.yml,Ollama 서비스가 docker-compose.yml에 추가됩니다
CLI,interactive.ai_ollama_host,Host - Connect to Ollama running on your machine (Mac/Windows),호스트 - 로컬 머신의 Ollama에 연결 (Mac/Windows)
CLI,interactive.ai_ollama_host_hint,Make sure Ollama is running: ollama serve,Ollama가 실행 중인지 확인하세요: ollama serve
CLI,interactive.ai_ollama_host_ok,Ollama will connect to host.docker.internal:11434,Ollama가 host.docker.internal:11434에 연결됩니다
CLI,interactive.ai_ollama_host_prompt,Connect to host Ollama? (recommended for Mac/Windows),호스트 Ollama에 연결하시겠습니까? (Mac/Windows 권장)
CLI,interactive.ai_ollama_intro,How do you want to run Ollama?,Ollama를 어떻게 실행하시겠습니까?
CLI,interactive.ai_ollama_label,Ollama Deployment Mode:,Ollama 배포 모드:
CLI,interactive.ai_provider.anthropic,Anthropic - Claude models (Paid),Anthropic - Claude 모델 (유료)
CLI,interactive.ai_provider.cohere,Cohere - Enterprise focus (Limited free),Cohere - 기업용 (제한적 무료)
CLI,interactive.ai_provider.google,Google - Gemini models (Free tier),Google - Gemini 모델 (무료 티어)
CLI,interactive.ai_provider.groq,Groq - Fast inference (Free tier),Groq - 고속 추론 (무료 티어)
CLI,interactive.ai_provider.mistral,Mistral - Open models (Mostly paid),Mistral - 오픈 모델 (대부분 유료)
CLI,interactive.ai_provider.ollama,Ollama - Local inference (Free),Ollama - 로컬 추론 (무료)
CLI,interactive.ai_provider.openai,OpenAI - GPT models (Paid),OpenAI - GPT 모델 (유료)
CLI,interactive.ai_provider_intro,Choose AI providers to include (multiple selection supported),포함할 AI 제공자를 선택하세요 (다중 선택 가능)
CLI,interactive.ai_provider_label,AI Provider Selection:,AI 제공자 선택:
CLI,interactive.ai_provider_options,Provider Options:,제공자 옵션:
CLI,interactive.ai_provider_recommended,(Recommended),(권장)
CLI,interactive.ai_pydanticai,"PydanticAI - Type-safe, Pythonic AI framework (recommended)","PydanticAI - 타입 안전, Pythonic AI 프레임워크 (권장)"
CLI,interactive.ai_rag_compat_note,Enabling RAG will generate a project requiring Python 3.11-3.13,RAG를 활성화하면 Python 3.11-3.13이 필요한 프로젝트가 생성됩니다
CLI,interactive.ai_rag_compat_prompt,Enable RAG despite Python 3.14 incompatibility?,Python 3.14 비호환에도 RAG를 활성화하시겠습니까?
CLI,interactive.ai_rag_enabled,RAG enabled with ChromaDB vector store,ChromaDB 벡터 스토어로 RAG 활성화됨
CLI,interactive.ai_rag_label,RAG (Retrieval-Augmented Generation):,RAG (검색 증강 생성):
CLI,interactive.ai_rag_prompt,Enable RAG for document indexing and semantic search?,문서 인덱싱 및 시맨틱 검색을 위해 RAG를 활성화하시겠습니까?
CLI,interactive.ai_rag_warning,Warning: RAG requires Python <3.14 (chromadb/onnxruntime limitation),경고: RAG는 Python <3.14 필요 (chromadb/onnxruntime 제한)
CLI,interactive.ai_selected_framework,Selected framework: {framework},선택된 프레임워크: {framework}
CLI,interactive.ai_selected_providers,Selected providers: {providers},선택된 제공자: {providers}
CLI,interactive.ai_sync_desc,Syncing fetches latest model data from OpenRouter/LiteLLM APIs,동기화는 OpenRouter/LiteLLM API에서 최신 모델 데이터를 가져옵니다
CLI,interactive.ai_sync_label,LLM Catalog Sync:,LLM 카탈로그 동기화:
CLI,interactive.ai_sync_prompt,Sync LLM catalog during project generation?,프로젝트 생성 시 LLM 카탈로그를 동기화하시겠습니까?
CLI,interactive.ai_sync_skipped,LLM sync skipped - static fixture data will be available,LLM 동기화 건너뜀 - 정적 픽스처 데이터 사용 가능
CLI,interactive.ai_sync_time,This requires network access and takes ~30-60 seconds,네트워크 접속이 필요하며 약 30~60초 소요됩니다
CLI,interactive.ai_sync_will,LLM catalog will be synced after project generation,프로젝트 생성 후 LLM 카탈로그가 동기화됩니다
CLI,interactive.ai_tracking_context,AI Usage Tracking,AI 사용량 추적
CLI,interactive.ai_tracking_label,LLM Usage Tracking:,LLM 사용량 추적:
CLI,interactive.ai_tracking_prompt,"Enable usage tracking? (token counts, costs, conversation history)","사용량 추적을 활성화하시겠습니까? (토큰 수, 비용, 대화 이력)"
CLI,interactive.ai_use_pydanticai,Use PydanticAI? (recommended),PydanticAI를 사용하시겠습니까? (권장)
CLI,interactive.ai_voice_enabled,Voice enabled with TTS and STT support,TTS 및 STT 지원 음성 활성화됨
CLI,interactive.ai_voice_label,Voice (Text-to-Speech & Speech-to-Text):,음성 (TTS 및 STT):
CLI,interactive.ai_voice_prompt,Enable voice capabilities? (TTS and STT for voice interactions),음성 기능을 활성화하시겠습니까? (음성 상호작용을 위한 TTS 및 STT)
CLI,interactive.auth_basic,Basic - Email/password login,기본 - 이메일/비밀번호 로그인
CLI,interactive.auth_cancelled,Authentication service cancelled,인증 서비스 취소됨
CLI,interactive.auth_db_already,Database component already selected,데이터베이스 컴포넌트 이미 선택됨
CLI,interactive.auth_db_configured,Authentication + Database configured,인증 + 데이터베이스 구성 완료
CLI,interactive.auth_db_confirm,Continue and add database component?,계속하고 데이터베이스 컴포넌트를 추가하시겠습니까?
CLI,interactive.auth_db_details,"(user accounts, sessions, JWT tokens)","(사용자 계정, 세션, JWT 토큰)"
CLI,interactive.auth_db_reason,Authentication requires a database for user storage,인증에는 사용자 저장을 위한 데이터베이스가 필요합니다
CLI,interactive.auth_db_required,Database Required:,데이터베이스 필요:
CLI,interactive.auth_header,Authentication Services:,인증 서비스:
CLI,interactive.auth_level_label,Authentication Level:,인증 수준:
CLI,interactive.auth_org,With Organizations - + multi-tenant support (experimental),조직 포함 - + 멀티 테넌트 지원 (실험적)
CLI,interactive.auth_rbac,With Roles - + role-based access control (experimental),역할 포함 - + 역할 기반 접근 제어 (실험적)
CLI,interactive.auth_select,What type of authentication?,어떤 유형의 인증을 사용하시겠습니까?
CLI,interactive.auth_selected,Selected auth level: {level},선택된 인증 수준: {level}
CLI,interactive.backup_desc,Scheduled daily database backup job included (runs at 2 AM),일일 데이터베이스 백업 예약 작업 포함 (매일 오전 2시 실행)
CLI,interactive.bonus_backup,Bonus: Adding database backup job,보너스: 데이터베이스 백업 작업 추가
CLI,interactive.component_selection,Component Selection,컴포넌트 선택
CLI,interactive.core_included,Core components ({components}) included automatically,코어 컴포넌트 ({components}) 자동 포함됨
CLI,interactive.db_engine_label,{context} Database Engine:,{context} 데이터베이스 엔진:
CLI,interactive.db_postgres,"PostgreSQL - Production-ready, multi-container support","PostgreSQL - 프로덕션용, 멀티 컨테이너 지원"
CLI,interactive.db_reuse,Using previously selected database: {engine},이전에 선택한 데이터베이스 사용: {engine}
CLI,interactive.db_select,Select database engine:,데이터베이스 엔진을 선택하세요:
CLI,interactive.db_sqlite,"SQLite - Simple, file-based (good for development)",SQLite - 간단한 파일 기반 (개발용에 적합)
CLI,interactive.infra_header,Infrastructure Components:,인프라 컴포넌트:
CLI,interactive.persist_prompt,"Do you want to persist scheduled jobs? (Enables job history, recovery after restarts)","예약 작업을 영속화하시겠습니까? (작업 이력, 재시작 후 복구 활성화)"
CLI,interactive.scheduler_db_configured,Scheduler + {engine} database configured,스케줄러 + {engine} 데이터베이스 구성 완료
CLI,interactive.scheduler_persistence,Scheduler Persistence:,스케줄러 영속성:
CLI,interactive.service_selection,Service Selection,서비스 선택
CLI,interactive.services_intro,Services provide business logic functionality for your application.,서비스는 애플리케이션에 비즈니스 로직 기능을 제공합니다.
CLI,interactive.worker_arq,"arq - Async, lightweight (default)","arq - 비동기, 경량 (기본값)"
CLI,interactive.worker_configured,Worker with {backend} backend configured,{backend} 백엔드 Worker 구성 완료
CLI,interactive.worker_dramatiq,"Dramatiq - Process-based, ideal for CPU-bound work","Dramatiq - 프로세스 기반, CPU 집약 작업에 적합"
CLI,interactive.worker_label,Worker Backend:,Worker 백엔드:
CLI,interactive.worker_select,Select worker backend:,Worker 백엔드를 선택하세요:
